Date : 2025-12-16 21:58:59
Directory : c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal
Total : 220 files,  30894 codes, 468 comments, 2339 blanks, all 33701 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript JSX     |        197 |     22,718 |        401 |      2,125 |     25,244 |
| JSON               |          4 |      5,110 |          0 |          3 |      5,113 |
| JavaScript         |         12 |      2,446 |         61 |        151 |      2,658 |
| PostCSS            |          3 |        571 |          6 |         52 |        629 |
| HTML               |          1 |         21 |          0 |          1 |         22 |
| JSON with Comments |          1 |         12 |          0 |          1 |         13 |
| XML                |          1 |          9 |          0 |          0 |          9 |
| Markdown           |          1 |          7 |          0 |          6 |         13 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        220 |     30,894 |        468 |      2,339 |     33,701 |
| . (Files)                                                                                                                            |          8 |      4,983 |          1 |         14 |      4,998 |
| public                                                                                                                               |          1 |          9 |          0 |          0 |          9 |
| public\icons                                                                                                                         |          1 |          9 |          0 |          0 |          9 |
| src                                                                                                                                  |        211 |     25,902 |        467 |      2,325 |     28,694 |
| src (Files)                                                                                                                          |         11 |      2,733 |         25 |        111 |      2,869 |
| src\api                                                                                                                              |          2 |        195 |         36 |         38 |        269 |
| src\components                                                                                                                       |        141 |     19,578 |        275 |      1,633 |     21,486 |
| src\components (Files)                                                                                                               |         78 |      9,391 |        115 |        736 |     10,242 |
| src\components\Settings                                                                                                              |          8 |        675 |         24 |         73 |        772 |
| src\components\charts                                                                                                                |          3 |        361 |          2 |         30 |        393 |
| src\components\dashboard                                                                                                             |          8 |      1,180 |         13 |        111 |      1,304 |
| src\components\forms                                                                                                                 |         13 |      3,640 |         69 |        252 |      3,961 |
| src\components\ui                                                                                                                    |         31 |      4,331 |         52 |        431 |      4,814 |
| src\contexts                                                                                                                         |          8 |        582 |         22 |         98 |        702 |
| src\hooks                                                                                                                            |         45 |      2,039 |         98 |        378 |      2,515 |
| src\lib                                                                                                                              |          4 |        775 |         11 |         67 |        853 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                             | language           | code       | comment    | blank      | total      |
