Date : 2025-12-16 21:58:59
Directory : c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal
Total : 85 files,  4133 codes, 140 comments, 434 blanks, all 4707 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Owners.jsx                         | JavaScript JSX |          6 |          0 |          1 |          7 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\PasswordResetEmail.jsx             | JavaScript JSX |        113 |          0 |          6 |        119 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ProfileImageSection.jsx            | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\PropertyDetails.jsx                | JavaScript JSX |          8 |          0 |          0 |          8 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\PropertyList.jsx                   | JavaScript JSX |          4 |          0 |          0 |          4 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\RequireProfile.jsx                 | JavaScript JSX |         18 |          0 |          6 |         24 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ResetLinkSent.jsx                  | JavaScript JSX |         20 |          0 |          3 |         23 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ResetPassword.jsx                  | JavaScript JSX |        173 |          0 |         12 |        185 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Settings\Settings.jsx              | JavaScript JSX |          2 |          6 |          5 |         13 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Settings\SettingsAccount.jsx       | JavaScript JSX |        131 |          8 |         25 |        164 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Settings\SettingsNotifications.jsx | JavaScript JSX |        103 |          5 |         16 |        124 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\AdHocJobsDashboard.jsx   | JavaScript JSX |        246 |          3 |         28 |        277 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\BookingsDashboard.jsx    | JavaScript JSX |         -8 |          0 |         -1 |         -9 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\Dashboard.jsx            | JavaScript JSX |        -23 |          0 |         -1 |        -24 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\DashboardCard.jsx        | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\HRDashboard.jsx          | JavaScript JSX |          3 |          6 |          3 |         12 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\JobsDashboard.jsx        | JavaScript JSX |        165 |          0 |         13 |        178 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\MaintenanceDashboard.jsx | JavaScript JSX |          3 |          0 |          0 |          3 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\AbsenceForm.jsx              | JavaScript JSX |        295 |          7 |         22 |        324 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\AdHocJobForm.jsx             | JavaScript JSX |        315 |         11 |         26 |        352 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\BookingForm.jsx              | JavaScript JSX |         10 |          0 |          1 |         11 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\CorrespondenceForm.jsx       | JavaScript JSX |         13 |          0 |          0 |         13 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\EmployeeForm.jsx             | JavaScript JSX |         79 |          3 |          7 |         89 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\LeadForm.jsx                 | JavaScript JSX |         21 |          0 |          0 |         21 |
