"filename", "language", "JavaScript", "Properties", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\RHFComboBox.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 2, 37
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\RHFStatusComboBox.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 3, 34
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\RHFUserComboBox.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 1, 18
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 2, 0, 0, 2
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\TextInput.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 2, 19
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\ToggleButton.jsx", "JavaScript JSX", 0, 0, 0, 56, 0, 5, 61
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\UserAvatarGroup.jsx", "JavaScript JSX", 0, 0, 0, -1, 0, -1, -2
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\card.jsx", "JavaScript JSX", 0, 0, 0, -1, 0, -1, -2
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\AuthProvider.jsx", "JavaScript JSX", 0, 0, 0, 2, 0, 0, 2
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\ConfirmationModalProvider.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 8
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\ModalContext.jsx", "JavaScript JSX", 0, 0, 0, 102, 3, 12, 117
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\OrganisationProvider.jsx", "JavaScript JSX", 0, 0, 0, 42, 0, 9, 51
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\ToastProvider.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 3
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\UserProvider.jsx", "JavaScript JSX", 0, 0, 0, 2, 0, 0, 2
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\currencyCodes.js", "JavaScript", 1080, 0, 0, 0, 1, 3, 1084
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\hooks\useCategoryOptions.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 7, 51
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\index.css", "PostCSS", 0, 0, -28, 0, 0, 0, -28
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\lib\DropdownHelperFunctions.js", "JavaScript", 35, 0, 0, 0, 0, 4, 39
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\main.jsx", "JavaScript JSX", 0, 0, 0, 40, 0, 3, 43
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\validationSchema.js", "JavaScript", 31, 0, 0, 0, 0, 1, 32
"Total", "-", 1161, 1, 45, 2098, 14, 197, 3516
