"filename", "language", "JSON", "Markdown", "JSON with Comments", "HTML", "JavaScript", "Properties", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\HeaderIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\HomeRedirect.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 4, 16
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\IconButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 28
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\LoadingSpinner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\LoadingSpinner.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 9, 82
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 129, 0, 1, 6, 136
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Logout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 5, 33
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NCEntryForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 679, 0, 3, 20, 702
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NavItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 4, 53
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 8, 131
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NonConformance.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 269, 0, 0, 26, 295
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NonConformanceCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 121, 0, 3, 14, 138
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NonConformanceDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NonConformanceGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 12, 106
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NonConformanceRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 100, 0, 3, 14, 117
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NonConformanceTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 12, 219
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 668, 0, 0, 4, 672
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Projects.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 5, 13
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Settings\Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 5, 51
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Settings\SettingsAccount.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 73, 0, 4, 5, 82
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Settings\SettingsDataManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 3, 19
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Settings\SettingsStatus.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 163, 0, 1, 5, 169
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Settings\SettingsSystemPreferences.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Settings\StatusPreviewCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ShieldBadge.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 76, 0, 1, 5, 82
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\SideMenuItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 3, 48
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\SignUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 7, 176
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Skeleton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 84, 0, 1, 8, 93
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\SortPane.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 4, 97
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\StatusPill.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\SubMenuItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ThemeToggle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 6, 51
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ToastNotification.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 103, 0, 3, 9, 115
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Top5List.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 8, 125
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ViewToggle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 2, 4, 35
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\charts\BarChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 5, 71
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\charts\RadialGauge.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 4, 52
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\ComboBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 18, 214
