"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "JavaScript JSX", "HTML", "PostCSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\FilterPane.jsx", "JavaScript JSX", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 16, 151
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\FullScreenCalendar.jsx", "JavaScript JSX", 0, 0, 0, 0, 349, 0, 0, 0, 0, 14, 30, 393
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 6, 57
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\HeaderIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\HomeRedirect.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 4, 16
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\IconButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\JobList.jsx", "JavaScript JSX", 0, 0, 0, 0, 77, 0, 0, 0, 0, 2, 6, 85
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\JobSheet.jsx", "JavaScript JSX", 0, 0, 0, 0, 393, 0, 0, 0, 0, 0, 23, 416
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\JobSheetPrintModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 1, 3, 58
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\JobSheetPrintView.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 3, 14
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\LeadCorrespondence.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 3, 66
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\LeadDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 141, 0, 0, 0, 0, 6, 12, 159
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\LeadMeeting.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 3, 57
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\LeadsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 0, 3, 10, 161
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\LoadingSpinner.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\LoadingSpinner.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 9, 82
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 6, 154
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Logout.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 5, 33
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\MeetingCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 48
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ModalImageUploader.jsx", "JavaScript JSX", 0, 0, 0, 0, 146, 0, 0, 0, 0, 8, 24, 178
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\NavItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 2, 7, 59
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 7, 131
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\NonConformance.jsx", "JavaScript JSX", 0, 0, 0, 0, 314, 0, 0, 0, 0, 3, 33, 350
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\NonConformance3.jsx", "JavaScript JSX", 0, 0, 0, 0, 289, 0, 0, 0, 0, 3, 30, 322
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\NonConformanceCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 121, 0, 0, 0, 0, 3, 14, 138
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\NonConformanceGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 12, 106
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 667, 0, 0, 0, 0, 0, 4, 671
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\NotificationCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 5, 88
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\NotificationPane.jsx", "JavaScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 0, 3, 8, 104
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\NumericInputGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 4, 58
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\OwnerDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 283, 0, 0, 0, 0, 10, 16, 309
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\OwnerList.jsx", "JavaScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 0, 7, 12, 129
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Owners.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\PackagePill.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 7, 35
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Pill.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ProfileImageSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 2, 7, 72
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Properties.jsx", "JavaScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 6, 48
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\PropertyDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 193, 0, 0, 0, 0, 4, 7, 204
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\PropertyList.jsx", "JavaScript JSX", 0, 0, 0, 0, 119, 0, 0, 0, 0, 6, 11, 136
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Settings\Accordion.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Settings\Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 5, 99
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Settings\SettingsAccount.jsx", "JavaScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 4, 5, 112
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Settings\SettingsDataManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Settings\SettingsStatus.jsx", "JavaScript JSX", 0, 0, 0, 0, 157, 0, 0, 0, 0, 1, 5, 163
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Settings\SettingsSystemPreferences.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Settings\StatusPreviewCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ShieldBadge.jsx", "JavaScript JSX", 0, 0, 0, 0, 76, 0, 0, 0, 0, 1, 5, 82
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\SideMenuItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 48
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\SignUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 7, 204
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Skeleton.jsx", "JavaScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 0, 1, 8, 93
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\SortPane.jsx", "JavaScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 4, 97
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\StatusPill.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\SubMenuItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Table.jsx", "JavaScript JSX", 0, 0, 0, 0, 210, 0, 0, 0, 0, 2, 13, 225
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\TableWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 202, 0, 0, 0, 0, 4, 23, 229
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ThemeToggle.jsx", "JavaScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 6, 51
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ToastNotification.jsx", "JavaScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 3, 9, 115
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Top5List.jsx", "JavaScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 8, 113
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ViewToggle.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 4, 35
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\VolumeBarChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 2, 6, 67
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\charts\AreaChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 12, 181
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\charts\PieChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 9, 102
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\charts\StackedBarChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 0, 2, 9, 110
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\BookingsDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 254, 0, 0, 0, 0, 3, 30, 287
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\ClientManagementDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 13, 180
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\DashboardCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 179, 0, 0, 0, 0, 1, 11, 191
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\HRDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 5, 92
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\dashboard\MaintenanceDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 5, 84
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\BookingForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 341, 0, 0, 0, 0, 0, 15, 356
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\CorrespondenceForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 7, 125
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\EmployeeForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 324, 0, 0, 0, 0, 15, 16, 355
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\KeyCodeForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 3, 13, 119
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\LeadForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 210, 0, 0, 0, 0, 5, 14, 229
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\MeetingForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 14, 190
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\OwnerForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 275, 0, 0, 0, 0, 2, 17, 294
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\PropertyForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 522, 0, 0, 0, 0, 2, 25, 549
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\PropertyOwnerForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 13, 121
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\RecurrenceForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 209, 0, 0, 0, 0, 4, 14, 227
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\ReoccuringBookingForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\SingleJobForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 254, 0, 0, 0, 0, 8, 18, 280
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\AggregationPeriodDropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 7, 38
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\ComboBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 18, 214
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\CurrencyComboBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 268, 0, 0, 0, 0, 0, 24, 292
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\DatePicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 314, 0, 0, 0, 0, 5, 25, 344
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\DatePickerPopout.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 0, 3, 6, 73
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\DateRangePicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 304, 0, 0, 0, 0, 6, 28, 338
